candidate_id,rank,score,reasoning
CAND_0000031,1,0.6775723917484283,"Selected for a 55.9% semantic alignment with the JD, supported by a strong 91.0% recruiter response rate."
CAND_0000025,2,0.4633579366207123,"Selected for a 24.2% semantic alignment with the JD, supported by a strong 74.0% recruiter response rate."
CAND_0000016,3,0.4611542674303055,"Selected for a 27.9% semantic alignment with the JD, supported by a strong 64.0% recruiter response rate."
CAND_0000027,4,0.4513473410606384,"Selected for a 29.1% semantic alignment with the JD, supported by a strong 58.0% recruiter response rate."
CAND_0000022,5,0.4410210540294647,"Selected for a 40.3% semantic alignment with the JD, supported by a strong 27.0% recruiter response rate."
CAND_0000048,6,0.4329106212854385,"Selected for a 26.8% semantic alignment with the JD, supported by a strong 65.0% recruiter response rate."
CAND_0000001,7,0.4257113411426544,"Selected for a 31.1% semantic alignment with the JD, supported by a strong 34.0% recruiter response rate."
CAND_0000045,8,0.4228722758293152,"Selected for a 27.6% semantic alignment with the JD, supported by a strong 62.0% recruiter response rate."
CAND_0000032,9,0.4226882103681564,"Selected for a 34.4% semantic alignment with the JD, supported by a strong 69.0% recruiter response rate."
CAND_0000014,10,0.4198458158969879,"Selected for a 34.1% semantic alignment with the JD, supported by a strong 80.0% recruiter response rate."
CAND_0000002,11,0.4188792568445205,"Selected for a 33.1% semantic alignment with the JD, supported by a strong 29.0% recruiter response rate."
CAND_0000013,12,0.4151460423469543,"Selected for a 37.7% semantic alignment with the JD, supported by a strong 28.0% recruiter response rate."
CAND_0000044,13,0.4141136716604233,"Selected for a 36.0% semantic alignment with the JD, supported by a strong 66.0% recruiter response rate."
CAND_0000024,14,0.4138189553022385,"Selected for a 31.0% semantic alignment with the JD, supported by a strong 78.0% recruiter response rate."
CAND_0000037,15,0.4074410443305969,"Selected for a 28.2% semantic alignment with the JD, supported by a strong 78.0% recruiter response rate."
CAND_0000015,16,0.4033496812582016,"Selected for a 27.9% semantic alignment with the JD, supported by a strong 32.0% recruiter response rate."
CAND_0000038,17,0.4030484968423843,"Selected for a 31.3% semantic alignment with the JD, supported by a strong 20.0% recruiter response rate."
CAND_0000036,18,0.3944506483078003,"Selected for a 22.7% semantic alignment with the JD, supported by a strong 40.0% recruiter response rate."
CAND_0000023,19,0.3943071701526642,"Selected for a 31.7% semantic alignment with the JD, supported by a strong 57.0% recruiter response rate."
CAND_0000030,20,0.3803574460744858,"Selected for a 29.2% semantic alignment with the JD, supported by a strong 66.0% recruiter response rate."
CAND_0000007,21,0.3787159434556961,"Selected for a 34.6% semantic alignment with the JD, supported by a strong 62.0% recruiter response rate."
CAND_0000040,22,0.3730518461465836,"Selected for a 33.5% semantic alignment with the JD, supported by a strong 46.0% recruiter response rate."
CAND_0000003,23,0.3724748610258103,"Selected for a 32.4% semantic alignment with the JD, supported by a strong 46.0% recruiter response rate."
CAND_0000026,24,0.3716983689069748,"Selected for a 34.1% semantic alignment with the JD, supported by a strong 59.0% recruiter response rate."
CAND_0000005,25,0.3712268363237381,"Selected for a 20.5% semantic alignment with the JD, supported by a strong 37.0% recruiter response rate."
CAND_0000041,26,0.3704642941951752,"Selected for a 28.6% semantic alignment with the JD, supported by a strong 7.0% recruiter response rate."
CAND_0000042,27,0.3606543014049529,"Selected for a 34.9% semantic alignment with the JD, supported by a strong 58.0% recruiter response rate."
CAND_0000039,28,0.3528308986425399,"Selected for a 29.1% semantic alignment with the JD, supported by a strong 52.0% recruiter response rate."
CAND_0000020,29,0.349699562549591,"Selected for a 28.1% semantic alignment with the JD, supported by a strong 55.0% recruiter response rate."
CAND_0000008,30,0.3468836473226547,"Selected for a 31.5% semantic alignment with the JD, supported by a strong 42.0% recruiter response rate."
CAND_0000010,31,0.3454664038419723,"Selected for a 35.4% semantic alignment with the JD, supported by a strong 40.0% recruiter response rate."
CAND_0000021,32,0.3403041878938674,"Selected for a 31.6% semantic alignment with the JD, supported by a strong 49.0% recruiter response rate."
CAND_0000049,33,0.33780275785923,"Selected for a 27.3% semantic alignment with the JD, supported by a strong 59.0% recruiter response rate."
CAND_0000047,34,0.3372510529756546,"Selected for a 34.2% semantic alignment with the JD, supported by a strong 39.0% recruiter response rate."
CAND_0000011,35,0.3224679179191589,"Selected for a 27.6% semantic alignment with the JD, supported by a strong 56.0% recruiter response rate."
CAND_0000028,36,0.3198516144752502,"Selected for a 34.3% semantic alignment with the JD, supported by a strong 14.0% recruiter response rate."
CAND_0000033,37,0.3120622663497925,"Selected for a 26.5% semantic alignment with the JD, supported by a strong 8.0% recruiter response rate."
CAND_0000035,38,0.3085676275491714,"Selected for a 31.8% semantic alignment with the JD, supported by a strong 34.0% recruiter response rate."
CAND_0000009,39,0.3078428691625595,"Selected for a 24.6% semantic alignment with the JD, supported by a strong 53.0% recruiter response rate."
CAND_0000018,40,0.2992231566905975,"Selected for a 32.9% semantic alignment with the JD, supported by a strong 16.0% recruiter response rate."
CAND_0000050,41,0.2962537063360214,"Selected for a 25.7% semantic alignment with the JD, supported by a strong 42.0% recruiter response rate."
CAND_0000004,42,0.2886853243112564,"Selected for a 33.6% semantic alignment with the JD, supported by a strong 26.0% recruiter response rate."
CAND_0000046,43,0.2828362793922424,"Selected for a 26.8% semantic alignment with the JD, supported by a strong 41.0% recruiter response rate."
CAND_0000012,44,0.2693438818454742,"Selected for a 32.6% semantic alignment with the JD, supported by a strong 16.0% recruiter response rate."
CAND_0000043,45,0.2678072172403336,"Selected for a 31.3% semantic alignment with the JD, supported by a strong 4.0% recruiter response rate."
CAND_0000019,46,0.2605041047334671,"Selected for a 26.9% semantic alignment with the JD, supported by a strong 34.0% recruiter response rate."
CAND_0000006,47,0.2587484118938445,"Selected for a 29.6% semantic alignment with the JD, supported by a strong 12.0% recruiter response rate."
CAND_0000034,48,0.2543517700433731,"Selected for a 30.6% semantic alignment with the JD, supported by a strong 15.0% recruiter response rate."
CAND_0000029,49,0.2525045070648193,"Selected for a 26.9% semantic alignment with the JD, supported by a strong 12.0% recruiter response rate."
CAND_0000017,50,0.239813749551773,"Selected for a 25.6% semantic alignment with the JD, supported by a strong 27.0% recruiter response rate."
